stop_id,stop_name,stop_lat,stop_lon,M1,M10,M100,M101,M102,M103,M104,M106,M11,M116,M12,M15,M2,M20,M21,M22,M3,M31,M35,M4,M42,M5,M50,M55,M57,M66,M7,M72,M8,M86,M9,M96,M98
400405,ST NICHOLAS AV/W 144 ST,40.823278,-73.945037,,,,,,,,,,,,,,,,,42432963,,,,,,,,,,,,,,,,
400406,ST NICHOLAS AV/W 145 ST,40.824338,-73.944408,,,,,,,,,,,,,,,,,4205440426,,,,,,,,,,,,,,,,
400408,ST NICHOLAS AV/W 151 ST,40.828325,-73.942272,,,,,,,,,,,,,,,,,4205440429,,,,,,,,,,,,,,,,
400409,ST NICHOLAS AV/W 153 ST,40.829645,-73.941744,,,,,,,,,,,,,,,,,42432980,,,,,,,,,,,,,,,,
400414,ST NICHOLAS AV/W 163 ST,40.837027,-73.940079,,,,,,,,,,,,,,,,,42433020,,,,,,,,,,,,,,,,
400418,ST NICHOLAS AV/W 170 ST,40.842529,-73.938555,,,,,,,,,,,,,,,,,7604384234,,,,,,,,,,,,,,,,
400419,ST NICHOLAS AV/W 173 ST,40.844406,-73.937188,,,,,,,,,,,,,,,,,8722881597,,,,,,,,,,,,,,,,
400422,ST NICHOLAS AV/W 179 ST,40.848225,-73.934397,,,,,,,,,,,,,,,,,42433064,,,,,,,,,,,,,,,,
400423,ST NICHOLAS AV/W 181 ST,40.849572,-73.933416,,,,,,,,,,,,,,,,,42433068,,,,,,,,,,,,,,,,
400426,ST NICHOLAS AV/W 187 ST,40.853358,-73.930644,,,,,,,,,,,,,,,,,5403868147,,,,,,,,,,,,,,,,
400448,ST NICHOLAS AV/W 192 ST,40.856143,-73.928818,42439924,42425758,,748726680,,,,,,,,,,,,,42427769,,,,,,,,,,,,,,,,
400449,ST NICHOLAS AV/W 190 ST,40.854494,-73.930039,,,,,,,,,,,,,,,,,5403868144,,,,,,,,,,,,,,,,
400452,ST NICHOLAS AV/W 184 ST,40.85079,-73.932783,,,,,,,,,,,,,,,,,42433069,,,,,,,,,,,,,,,,
400453,ST NICHOLAS AV/W 181 ST,40.849015,-73.934086,,,,,,,,,,,,,,,,,42428086,,,,,,,,,,,,,,,,
400454,ST NICHOLAS AV/W 178 ST,40.847482,-73.935168,,,,,,,,,,,,,,,,,42433062,,,,,,,,,,,,,,,,
400457,ST NICHOLAS AV/W 172 ST,40.843215,-73.938316,,,,,,,,,,,,,,,,,7604384231,,,,,,,,,,,,,,,,
400461,ST NICHOLAS AV/W 164 ST,40.837543,-73.940115,,,,,,,,,,,,,,,,,42433024,,,,,,,,,,,,,,,,
400462,ST NICHOLAS AV/W 162 ST,40.83629,-73.940039,,,,,,,,,,,,,,,,,4207731296,,,,,,,,,,,,,,,,
