stop_id,stop_name,stop_lat,stop_lon,M1,M10,M100,M101,M102,M103,M104,M106,M11,M116,M12,M15,M191,M2,M20,M21,M22,M3,M31,M35,M4,M42,M5,M50,M55,M57,M66,M7,M72,M8,M9,M96
400448,ST NICHOLAS AV/W 192 ST,40.856143,-73.928818,,,,POINT (-73.92875100000001 40.85611399999984),,,,,,,,,,,,,,POINT (-73.92875100000001 40.85611399999984),,,,,,,,,,,,,,
400449,ST NICHOLAS AV/W 190 ST,40.854494,-73.930039,,,,,,,,,,,,,,,,,,POINT (-73.929968 40.85446299999985),,,,,,,,,,,,,,
400452,ST NICHOLAS AV/W 184 ST,40.85079,-73.932783,,,,,,,,,,,,,,,,,,POINT (-73.93268 40.85074799999983),,,,,,,,,,,,,,
400453,ST NICHOLAS AV/W 181 ST,40.849015,-73.934086,,,,,,,,,,,,,,,,,,POINT (-73.93398100000002 40.84897099999985),,,,,,,,,,,,,,
400454,ST NICHOLAS AV/W 178 ST,40.847482,-73.935168,,,,,,,,,,,,,,,,,,POINT (-73.93509300000001 40.84745199999983),,,,,,,,,,,,,,
400457,ST NICHOLAS AV/W 172 ST,40.843215,-73.938316,,,,,,,,,,,,,,,,,,POINT (-73.938213 40.84317199999983),,,,,,,,,,,,,,
400461,ST NICHOLAS AV/W 164 ST,40.837543,-73.940115,,,,,,,,,,,,,,,,,,POINT (-73.94002399999999 40.83753299999984),,,,,,,,,,,,,,
400462,ST NICHOLAS AV/W 162 ST,40.83629,-73.940039,,,,,,,,,,,,,,,,,,POINT (-73.94 40.83629499999984),,,,,,,,,,,,,,
400466,ST NICHOLAS AV/W 152 ST,40.82886,-73.942257,,,,,,,,,,,,,,,,,,POINT (-73.942184 40.82884299999984),,,,,,,,,,,,,,
400467,ST NICHOLAS AV/W 150 ST,40.827466,-73.942831,,,,,,,,,,,,,,,,,,POINT (-73.942734 40.82744399999984),,,,,,,,,,,,,,
400468,ST NICHOLAS AV/W 148 ST,40.82571,-73.943669,,,,,,,,,,,,,,,,,,POINT (-73.94355999999999 40.82566399999984),,,,,,,,,,,,,,
400469,ST NICHOLAS AV/W 145 ST,40.823764,-73.945033,,,,,,,,,,,,,,,,,,POINT (-73.94490100000002 40.82372799999983),,,,,,,,,,,,,,
400470,ST NICHOLAS AV/W 142 ST,40.822296,-73.945724,,,,,,,,,,,,,,,,,,POINT (-73.945598 40.82226199999985),,,,,,,,,,,,,,
